YEAR,BFSNR,GDE_NAME,STF_O_KIRCHE1,STF_O_KIRCHE2,STF_O_KIRCHE3,STF_REF1,STF_REF2,STF_REF3,STF_KATH1,STF_KATH2,STF_KATH3,STF_CKRKATH1,STF_CKRKATH2,STF_CKRKATH3,JUR_PERS
2024,139,Rüschlikon,75,0,0,85,0,0,85,0,0,89,0,0,85
2024,141,Thalwil,83,0,0,94,0,0,93,0,0,97,0,0,93.49
2024,151,Erlenbach,76,0,0,84,0,0,83,0,0,90,0,0,83.57
2024,152,Herrliberg,75,0,0,84,0,0,83,0,0,89,0,0,83.58
2024,153,Hombrechtikon,113,0,0,124,0,0,126,0,0,127,0,0,124.9
2024,154,Küsnacht,73,0,0,80,0,0,80,0,0,87,0,0,80
2024,155,Männedorf,93,0,0,104,0,0,104,0,0,107,0,0,104
2024,156,Meilen,79,0,0,88,0,0,86,0,0,93,0,0,87.16
2024,157,Oetwil a.S.,116,0,0,130,0,0,125,0,0,130,0,0,127.55
2024,158,Stäfa,78,0,0,89,0,0,89,0,0,92,0,0,89
2024,159,Uetikon a.S.,84,0,0,95,0,0,95,0,0,98,0,0,95
2024,160,Zumikon,77,0,0,85,0,0,86,0,0,91,0,0,85.42
2024,161,Zollikon,76,0,0,84,0,0,85,0,0,90,0,0,84.44
2024,172,Fehraltorf,109,0,0,122,0,0,121,0,0,123,0,0,121.59
2024,173,Hittnau,113,0,0,127,0,0,125,0,0,127,0,0,126.4
2024,176,Lindau,106,0,0,118,0,0,119,0,0,120,0,0,118.41
2024,177,Pfäffikon,110,0,0,122,0,0,122,0,0,124,0,0,122
2024,178,Russikon,113,0,0,125,0,0,125,0,0,127,0,0,125
2024,180,Weisslingen,116,0,0,129,0,0,128,0,0,130,0,0,128.71
2024,181,Wila,125,0,0,139,0,0,138,0,0,139,0,0,138.72
2024,182,Wildberg,127,0,0,141,0,0,140,0,0,141,0,0,140.8
2024,191,Dübendorf,96,0,0,107,0,0,106,0,0,110,0,0,106.44
2024,192,Egg,101,0,0,113,0,0,110,0,0,115,0,0,111.65
2024,193,Fällanden,99,0,0,110,0,0,109,0,0,113,0,0,109.5
2024,194,Greifensee,94,0,0,105,0,0,104,0,0,108,0,0,104.56
2024,195,Maur,85,0,0,94,0,0,94,0,0,99,0,0,94
2024,196,Mönchaltorf,108,0,0,121,0,0,117,0,0,122,0,0,119.56
2024,197,Schwerzenbach,101,0,0,112,0,0,111,0,0,115,0,0,111.51
2024,198,Uster,112,108,0,123,119,0,122,118,0,126,122,0,122.54
2024,199,Volketswil,101,0,0,110,0,0,111,0,0,115,0,0,110.48
2024,200,Wangen-Brüttisellen,101,0,0,112,0,0,109,0,0,115,0,0,110.44
2024,211,Altikon,114,0,0,126,0,0,127,0,0,128,0,0,126.18
2024,213,Brütten,89,0,0,101,0,0,102,0,0,103,0,0,101.28
2024,214,Dägerlen,105,0,0,119,0,0,118,0,0,119,0,0,118.8
2024,215,Dättlikon,116,0,0,128,0,0,129,0,0,130,0,0,128.24
2024,216,Dinhard,83,0,0,95,0,0,96,0,0,97,0,0,95.24
2024,218,Ellikon a.d.Th.,115,0,0,127,0,0,128,0,0,129,0,0,127.28
2024,219,Elsau,120,0,0,134,0,0,133,0,0,134,0,0,133.61
2024,220,Hagenbuch,118,0,0,132,0,0,132,0,0,132,0,0,132
2024,221,Hettlingen,96,0,0,109,0,0,109,0,0,110,0,0,109
2024,223,Neftenbach,105,0,0,115,0,0,118,0,0,119,0,0,115.9
2024,224,Pfungen,117,0,0,129,0,0,130,0,0,131,0,0,129.4
2024,225,Rickenbach,102,0,0,114,0,0,115,0,0,116,0,0,114.32
2024,226,Schlatt,125,0,0,139,0,0,137,0,0,139,0,0,138.6
2024,227,Seuzach,99,0,0,111,0,0,112,0,0,113,0,0,111.38
2024,228,Turbenthal,122,109,0,136,123,0,135,122,0,136,123,0,135.66
2024,230,Winterthur,125,0,0,138,0,0,142,0,0,139,0,0,139.72
2024,231,Zell,118,0,0,132,0,0,130,0,0,132,0,0,131.24
2024,241,Aesch,91,0,0,102,0,0,101,0,0,105,0,0,101.61
2024,242,Birmensdorf,112,0,0,123,0,0,122,0,0,126,0,0,122.54
2024,243,Dietikon,123,0,0,135,0,0,136,0,0,137,0,0,135.69
2024,244,Geroldswil,110,0,0,121,0,0,119,0,0,124,0,0,119.86
2024,245,Oberengstringen,109,0,0,119,0,0,122,0,0,123,0,0,120.74
2024,246,Oetwil a.d.L.,105,0,0,116,0,0,114,0,0,119,0,0,115.02
2024,247,Schlieren,111,0,0,122,0,0,121,0,0,125,0,0,121.28
